codigo,nombre,tipo
1657,Ingresos del giro percibidos o devengados,INGRESO
1658,Rentas de fuente extranjera,INGRESO
1659,Intereses percibidos o devengados,INGRESO
1660,Otros ingresos percibidos o devengados,INGRESO
1661,Costo directo de los bienes y servicios,COSTO_GASTO
1662,Remuneraciones,COSTO_GASTO
1140,Arriendos,COSTO_GASTO
1663,Depreciación financiera del ejercicio,COSTO_GASTO
1664,Intereses pagados o adeudados,COSTO_GASTO
1665,Gastos por donaciones,COSTO_GASTO
1666,Otros gastos financieros,COSTO_GASTO
1667,Gastos por inversión privada en I+D certificados por CORFO,COSTO_GASTO
1668,Gastos por inversión privada en I+D no certificados por CORFO,COSTO_GASTO
1141,Gastos por exigencias medio ambientales,COSTO_GASTO
1142,Gasto por indemnización o compensación a clientes o usuarios,COSTO_GASTO
1669,Costos y gastos necesarios para producir las rentas de fuente extranjera,COSTO_GASTO
1670,Gastos por impuesto renta e impuesto diferido,COSTO_GASTO
1671,Otros gastos deducidos de los ingresos brutos,COSTO_GASTO
