cuenta_sii,nombre,seccion,tipo
1.01.01.00,Efectivo y equivalentes,I,ACTIVO
1.01.02.00,Instrumentos de inversión,I,ACTIVO
1.01.03.00,Deudores por venta,I,ACTIVO
1.01.04.00,Documentos y cuentas por cobrar,I,ACTIVO
1.01.05.00,Existencias,I,ACTIVO
1.01.06.00,Gastos pagados por anticipado,I,ACTIVO
1.01.07.00,Impuestos por recuperar,I,ACTIVO
1.01.08.00,Otros activos circulantes,I,ACTIVO
1.02.01.00,Terrenos,I,ACTIVO
1.02.02.00,Edificios,I,ACTIVO
1.02.03.00,Maquinarias y equipos,I,ACTIVO
1.02.04.00,Muebles y útiles,I,ACTIVO
1.02.05.00,Vehículos,I,ACTIVO
1.02.06.00,Activos biológicos,I,ACTIVO
1.02.07.00,Activos mineros,I,ACTIVO
1.02.08.00,Obras en construcción,I,ACTIVO
1.02.09.00,Otros activos fijos,I,ACTIVO
1.02.10.00,Depreciación acumulada (menos),I,ACTIVO
1.02.11.00,Activos intangibles,I,ACTIVO
1.02.12.00,Amortización acumulada (menos),I,ACTIVO
1.02.13.00,Activos de exploración,I,ACTIVO
1.02.14.00,Activos de evaluación,I,ACTIVO
1.03.01.00,Inversiones en empresas relacionadas,I,ACTIVO
1.03.02.00,Inversiones en otras sociedades,I,ACTIVO
1.03.03.00,Otros activos,I,ACTIVO
1.04.01.00,Cuentas de orden de activos,I,ACTIVO
2.01.01.00,Obligaciones con bancos e instituciones financieras,I,PASIVO
2.01.02.00,Obligaciones con el público,I,PASIVO
2.01.03.00,Cuentas por pagar,I,PASIVO
2.01.04.00,Sueldos por pagar,I,PASIVO
2.01.05.00,Impuestos por pagar,I,PASIVO
2.01.06.00,Dividendos por pagar,I,PASIVO
2.01.07.00,Provisiones,I,PASIVO
2.01.08.00,Ingresos percibidos por adelantado,I,PASIVO
2.01.09.00,Otros pasivos circulantes,I,PASIVO
2.02.01.00,Obligaciones con bancos largo plazo,I,PASIVO
2.02.02.00,Obligaciones con el público largo plazo,I,PASIVO
2.02.03.00,Cuentas por pagar largo plazo,I,PASIVO
2.02.04.00,Provisiones largo plazo,I,PASIVO
2.02.05.00,Impuestos diferidos,I,PASIVO
2.02.06.00,Otros pasivos largo plazo,I,PASIVO
2.03.01.00,Capital,I,PATRIMONIO
2.03.02.00,Reservas,I,PATRIMONIO
2.03.03.00,Utilidades acumuladas,I,PATRIMONIO
2.03.04.00,Pérdidas acumuladas,I,PATRIMONIO
2.03.05.00,Utilidad del ejercicio,I,PATRIMONIO
2.03.06.00,Pérdida del ejercicio,I,PATRIMONIO
2.04.01.00,Cuentas de orden de pasivos,I,PASIVO
3.01.01.00,Ingresos del giro percibidos o devengados,II,INGRESO
3.01.02.00,Rentas de fuente extranjera,II,INGRESO
3.01.03.00,Intereses percibidos o devengados,II,INGRESO
3.01.04.00,Otros ingresos percibidos o devengados,II,INGRESO
3.02.01.00,Costo directo de los bienes y servicios,II,COSTO
3.03.01.00,Remuneraciones,II,GASTO
3.03.02.00,Arriendos,II,GASTO
3.03.03.00,Depreciación financiera del ejercicio,II,GASTO
3.03.04.00,Intereses pagados o adeudados,II,GASTO
3.03.05.00,Gastos por donaciones,II,GASTO
3.03.06.00,Otros gastos financieros,II,GASTO
3.03.07.00,Gastos por inversión privada en I+D certificados por CORFO,II,GASTO
3.03.08.00,Gastos por inversión privada en I+D no certificados por CORFO,II,GASTO
3.03.09.00,Gastos por exigencias medio ambientales,II,GASTO
3.03.10.00,Gasto por indemnización o compensación a clientes o usuarios,II,GASTO
3.03.11.00,Costos y gastos necesarios para producir las rentas de fuente extranjera,II,GASTO
3.03.12.00,Gastos por impuesto renta e impuesto diferido,II,GASTO
3.03.13.00,Otros gastos deducidos de los ingresos brutos,II,GASTO
1657,Ingresos del giro percibidos o devengados,II,CONCEPTO
