Cuenta,Nombre,Ficha,Docum.,Un.Neg.,Concil.,Estado,cuenta_sii,cod_f22
1.00.00.00,Activos,,,,,Activo,,
1.01.00.00,Activos Circulantes,,,,,Activo,,
1.01.01.00,Disponible,,,,,Activo,,
1.01.01.01,Caja,,,,,Activo,,
1.01.01.02,Banco Cta Cte,,,,,Activo,,
1.01.01.03,Transbank,,,,,Activo,,
1.01.01.04,Banco de Chile,,,,S,Activo,,
1.01.01.10,Fondos por Rendir,S,,,,Activo,,
1.01.02.00,Depósitos a plazo,,,,,Activo,,
1.01.02.01,Depósitos a plazo,,,,,Activo,,
1.01.03.00,Valores negociables,,,,,Activo,,
1.01.03.01,Fondos Mutuos,,,,,Activo,,
1.01.04.00,Instrumentos derivados,,,,,Activo,,
1.01.05.00,Deudores por venta,,,,,Activo,,
1.01.05.01,Deudores por venta,S,S,,,Activo,,
1.01.05.02,Cheques por Cobrar,S,S,,,Activo,,
1.01.05.31,Gastos Reembolsables DIPS,S,S,,,Activo,,
1.01.06.00,Deudores Empleados,,,,,Activo,,
1.01.06.01,Anticipo de Empleados,S,,,,Activo,,
1.01.06.02,Prestamos Empleados,S,,,,Activo,,
1.01.06.03,Asignación Familiar,S,,,,Activo,,
1.01.07.00,Cuenta Particular Socios,,,,,Activo,,
1.01.07.01,Cuenta Particulas Socio A,,,,,Activo,,
1.01.08.00,Documentos y cuentas por cobrar empresas relacionadas (cuenta corrientes mercantil),,,,,Activo,,
1.01.08.01,Cuenta Empresa Relacionada,S,,,,Activo,,
1.01.08.02,Cuenta Corriente Inversiones Argandoña,,,,,Activo,,
1.01.09.00,Existencias,,,,,Activo,,
1.01.09.01,Existencias,,,,,Activo,,
1.01.09.10,Compras por Recibir,,,,,Activo,,
1.01.09.11,Existencia en Consignación,,,,,Activo,,
1.01.09.19,Importaciones en Tránsito,,,,,Activo,,
1.01.09.30,Productos terminados,,,,,Activo,,
1.01.09.40,Productos en proceso,,,,,Activo,,
1.01.10.00,Impuestos por recuperar,,,,,Activo,,
1.01.10.01,IVA Credito Fiscal,,,,,Activo,,
1.01.10.02,PPM,,,,,Activo,,
1.01.10.03,Otros Impuestos por Recuperar,,,,,Activo,,
1.01.10.10,Credito IEC,,,,,Activo,,
1.01.10.20,Impuestos retenidos por terceros,,,,,Activo,,
1.01.11.00,Gastos pagados por anticipado,,,,,Activo,,
1.01.11.01,Anticipo Proveedores,S,,,,Activo,,
1.01.11.02,Garantia Arriendo,,,,,Activo,,
1.01.11.03,Anticipo Honorarios,S,,,,Activo,,
1.01.12.00,Impuestos diferidos,,,,,Activo,,
1.01.12.01,Impuestos diferidos,,,,,Activo,,
1.01.13.00,Otros activos circulantes,,,,,Activo,,
1.01.13.01,Otros activos circulantes,,,,,Activo,,
1.01.14.00,Contratos de leasing (neto),,,,,Activo,,
1.01.14.01,Contratos de leasing (neto),,,,,Activo,,
1.01.15.00,Activos para leasing (neto),,,,,Activo,,
1.01.15.01,Activos para leasing (neto),,,,,Activo,,
1.02.00.00,Activos Fijos,,,,,Activo,,
1.02.01.00,Terrenos,,,,,Activo,,
1.02.01.01,Terrenos,,,,,Activo,,
1.02.02.00,Construcción y obras de infraestructura,,,,,Activo,,
1.02.02.01,Edificios,,,,,Activo,,
1.02.03.00,Maquinarias y equipos,,,,,Activo,,
1.02.03.01,Maquinarias y equipos,,,,,Activo,,
1.02.04.00,Otros activos fijos,,,,,Activo,,
1.02.04.01,Muebles y Utiles,,,,,Activo,,
1.02.04.02,Equipos Computacionales,,,,,Activo,,
1.02.05.00,Mayor valor por retasación técnica del activo fijo,,,,,Activo,,
1.02.05.01,Mayor valor por retasación técnica del activo fijo,,,,,Activo,,
1.02.06.00,Depreciación (menos),,,,,Activo,,
1.02.06.01,Depreciación Acumulada,,,,,Activo,,
1.03.00.00,Otros Activos,,,,,Activo,,
1.03.01.00,Inversiones en empresas relacionadas,,,,,Activo,,
